data10
10 3
   428    40  2451
  2975    49  3264
  1312    22  3145
  3022    35  3284
  1164    39   477
  2084    45  1192
  1509    31   188
  2300    37   657
  2727    15   743
   359    49  2033
  2396     8   926
  1608    18  2412
  2472    21  3002
   225    25  2292
   657    28  1967
  1099    48  1676
  3347    11  3040
   480    10  2395
  1865    46  1245
  2387    21  3219
  1188    23  3260
  2413    45   861
  3224     9  1465
  1206    12  1377
  1571    29  2452
  1107     3  1300
  1797    13   179
  1223    33  1515
   174    21  2664
   110    34   317
  2336    10   761
   497    28  2767
   620    20  1836
   173    26  1270
  2017    50  1879
   197     6   490
  1020    32  2077
  2624    48  1230
  1283    33  3031
  1829    26  1286
  1255    11  2017
  3027     4  2827
   420    18   604
  1532     4   787
  3267     8   336
  3036    31   994
  1406     9  2707
  1607    22  1711
  2978     8  3217
   531    30  2778
   118    45  3126
  2715    19   803
   890    25  1834
  1654     2  2899
  1479    25  1900
  3125    34  2610
   864     2  2509
  2253    11  2755
  2180    38  2447
  3202     8  2510
  2799    44  3151
  1409    40  1350
  2318    39   646
  1583    18  3099
  2386    49  1060
  2548     1   620
  2249    42   251
  3085    45  3026
  1172    35  1401
  2685    13   485
  1859    19   887
  2122    45  1844
   266     4  3210
   955    44  2918
   592    41  2399
   196     4  3088
  3018     5  1410
   305     9  2046
  1384    31   609
  1311     3   516
  1880    43  2194
  1948    25  2218
   239     5  2420
    51    38  3334
   697    47  2600
  1395    14    24
   978    44  2892
  1154    45   107
  2648    40  2901
   193    20   750
   995    23  1266
   323    18   386
   295     8  3314
  3384    46  2459
   539     8  2772
  1689     7    54
   405    47  2338
  2811    10   148
   567     7   438
   714     4  3259
  3362    28  2616
  2622    29  2926
   970    34  1011
  2730    25  1958
  1870    49   497
  2661     8   294
  2532    17   147
  1913    17   691
  2256    13  2179
  3325    33  1333
    55    44   441
  2811    27  1081
   816    47  3070
  1478     6  1861
  1074    40   105
   890    42   801
  3206    32   136
  1682    16  3160
  1161     9  1759
   305    45  2922
   722    43   613
   625    31  1465
  2007    17  1742
  3097    24  1813
   420    18  2569
  1452    39  1609
  1766    50  3275
  2671     6   255
  3310    29  1797
  2846     7   324
    92    26  1983
  1633    48  2369
   106    30   913
  2552    33   615
  2251    20  1339
  2228    16  2610
  1091    14  2805
  1913    36  1236
   399     8  2274
  2970    26  2839
   287    18  1590
  2125    24  2141
  1889    10  1540
  1928    20  1007
  1143    39  3082
   353    37  3014
  3299     1  2597
  1056    43  1311
  1911    12   407
  2280    39   579
   916    29  1545
   243    28  2397
  2959     2  1867
  1592    37  2085
  2046    37  1149
  2169    16    58
  1151    16  2395
  3044    41  2329
  2432    28  3271
   529    41   250
   489    29  3079
  1836    19  3207
   927    12  1040
  1365    24  3275
   238    20  1706
  2456    49  3167
  2450    46  2601
  1317     1  2698
  2240     4  3084
  2678    50   957
   889    30  1609
  3167    13  1472
   803    47   468
   211    21    90
   703    41   520
  2770     6   291
  3296    37  2121
   753    37  2560
  2394    42   401
  1347    49  1687

data500
500     3
1526	9	3490
5535	35	5630
1048	48	2273
6841	27	1815
5910	36	1687
7385	23	1836
212	31	2337
2442	2	2433
1619	3	6963
4414	6	3114
2016	27	2555
3450	17	3943
3251	18	5839
2708	20	6999
3799	12	6398
4552	35	6057
6855	26	6637
6137	47	529
3929	44	5573
7463	36	2165
1523	20	1688
3105	16	2162
1071	22	1273
238	43	5568
3094	44	59
626	9	36
2341	26	98
1195	24	6737
990	14	4907
1547	43	1432
6291	20	6614
748	8	6924
5318	5	795
756	36	2606
820	29	3186
6070	25	4630
4002	22	1149
473	19	1071
6437	10	1583
6519	17	95
1643	6	4776
830	22	7454
2477	1	2052
1104	11	4922
1204	22	978
5298	18	3476
1051	15	537
5110	19	5485
3876	41	5511
1547	18	6818
5014	48	535
5381	17	6965
2337	29	3587
3445	50	6149
2569	20	2769
2434	2	4088
521	4	4163
3902	3	6613
7134	41	6312
3567	1	4590
288	1	275
5509	8	2617
4624	8	1746
2809	10	2372
7225	29	990
4041	20	2170
5442	23	6172
1050	37	5498
4896	43	4395
7212	7	7268
2447	26	6608
4189	42	3751
5475	42	575
3660	8	6286
5927	19	7232
5401	20	630
1004	28	2668
4030	11	4470
2487	36	3977
2564	26	4340
4812	50	1193
2781	44	1184
3781	25	7367
6412	20	851
4297	10	5102
3569	39	1684
469	13	4166
918	38	2978
3105	24	6265
575	33	3952
4235	24	2380
4052	4	5407
6201	25	3341
6152	21	4987
809	1	552
5669	19	5975
1695	33	6118
3031	8	5003
3879	28	6863
618	24	3760
2380	3	7082
122	31	206
4830	25	4249
3895	43	332
3505	5	399
800	48	3395
1917	14	2055
2966	23	1622
1900	23	1505
2315	11	6894
4803	13	5331
6276	14	5333
1994	15	1057
2836	1	4026
4678	32	431
2308	31	4100
347	8	2954
5124	5	7302
6418	13	7034
3320	50	6644
7198	5	1347
2247	7	1142
5601	31	2111
5531	24	3759
750	38	3222
7400	38	5331
217	24	1068
687	22	2609
1444	39	3612
2772	50	7384
6599	16	587
6673	18	5897
1590	45	5029
4443	37	5571
7259	11	3314
1377	5	4221
2779	28	5937
322	42	2100
1504	8	2944
5443	34	7022
648	7	5659
6552	36	5448
5082	6	2594
5406	21	774
7183	13	4558
1042	44	541
1693	37	5484
735	10	4663
4243	9	366
7209	12	1380
1648	48	6526
6526	24	7483
6079	2	4508
425	26	1263
1654	18	4009
375	2	2164
963	8	1072
1165	10	4920
3072	9	445
2860	11	6211
5043	30	5754
453	4	1194
5304	29	6831
6217	4	1064
437	38	3328
4208	38	1035
6561	46	6995
2976	16	6364
5310	1	699
1634	11	4083
7247	33	7449
5655	24	2202
5352	33	968
4435	17	6011
7492	34	1540
2483	5	2922
6567	39	4040
2712	21	3488
2015	14	1014
7142	35	7095
820	2	7066
1290	1	3117
548	32	2801
1060	50	7220
4958	48	1237
4025	24	6566
7092	7	738
2398	33	2777
483	4	3749
920	33	6743
523	29	2809
2247	47	5667
6029	10	7450
3170	8	5877
972	41	2548
1810	34	7252
4611	39	6075
2239	10	3487
1916	50	5724
3132	34	6228
1734	1	6884
2624	45	5824
2942	41	3348
5642	14	1370
1892	16	3075
5215	33	3144
1589	35	5447
367	32	597
5762	34	2504
1726	41	4264
7103	43	4669
2628	2	1398
7156	41	3750
6282	11	7358
2089	23	4601
5011	5	3065
3201	44	3836
1067	25	3832
2043	2	7158
3828	33	7394
5464	40	2113
623	12	503
3033	8	3898
1473	29	6695
5135	28	3992
5428	11	6476
5010	24	1083
6389	3	3435
3914	49	6103
4349	2	3495
7089	16	4048
1348	3	4305
5686	36	473
16	24	4940
3353	12	7314
6394	14	1410
4459	23	557
595	23	6158
1782	13	1712
2249	33	6143
5347	39	4497
2677	45	6828
4385	46	1024
806	13	7211
7477	14	119
7392	8	394
2863	16	6744
2066	36	6291
2641	23	3304
2516	32	708
1173	23	7020
2182	2	5219
5368	15	2991
3563	19	2086
1722	36	2497
4297	39	5765
1983	34	2487
6101	9	600
6134	32	473
678	2	4920
5391	40	4711
410	30	6378
4266	27	1256
229	4	2111
4428	50	868
3210	7	4111
5285	32	983
5880	33	3578
3058	1	4297
1877	14	814
5098	4	3275
1385	45	160
6760	13	5491
1491	32	5205
5561	38	6317
3171	5	778
5216	36	2109
3890	36	1038
2618	32	1559
3478	23	1159
2038	18	7182
1206	27	2407
5120	4	1542
6156	47	4828
204	26	5519
2981	32	1857
7027	21	434
1776	18	375
625	25	967
6474	6	1992
3493	21	1225
6580	29	6923
202	43	239
3015	16	1405
5222	41	3252
2710	38	6918
7414	44	7327
1514	31	3580
3741	44	2383
1023	20	4038
5737	13	879
2812	7	4587
4221	6	852
7169	38	4540
7203	11	543
78	46	6787
2764	18	4514
7037	37	6555
5688	28	7158
5531	17	1782
5419	49	4954
3867	19	5720
3775	9	3672
2650	22	6972
4059	32	3866
2857	7	4974
4096	3	4265
1443	10	6902
5307	15	5349
5834	19	4043
2847	34	7316
2740	3	1425
774	8	1930
4680	35	2336
2282	44	4228
6850	31	4023
4346	7	1216
1792	25	4522
1297	27	1726
840	48	1960
230	30	2005
5457	9	6898
1088	6	356
6480	37	3902
884	7	1239
6018	41	1931
4737	39	96
3912	41	1529
5702	34	5708
2328	50	5602
4219	20	1444
5327	18	1565
3486	4	5881
2916	15	6281
470	41	5825
3696	18	6084
6099	1	6297
2449	29	4047
640	10	3070
4507	7	753
5006	24	2657
5422	22	4083
1823	4	6503
5730	43	5806
2634	13	2483
5313	39	6191
6113	41	1953
6825	23	6933
1152	29	1604
3843	7	5048
1621	19	5792
45	32	5694
2762	31	7003
1766	4	4835
4051	26	354
6717	39	1899
2742	3	6775
491	13	4042
7386	32	1946
1147	7	255
4513	1	4687
1222	24	3887
4711	44	4878
5618	50	3811
3621	21	1872
642	49	444
6933	45	4581
7173	2	3183
3351	33	3602
2974	41	5616
2548	21	6741
1787	37	1425
4689	16	4123
896	40	3026
7391	32	1650
3415	20	6572
5231	33	2833
2764	32	5124
4485	49	998
6371	50	6515
271	5	2487
562	42	5802
1929	22	6909
5123	41	3791
5319	48	3687
4251	49	5967
1805	46	631
5883	42	6201
2035	45	3113
2938	36	299
369	46	1510
2878	34	5819
6111	45	6202
644	9	5054
6613	33	6377
1464	38	626
5518	50	2966
160	35	6564
1333	30	5465
7243	32	5612
7467	20	4443
4989	45	4586
5039	30	4090
3657	41	5347
539	46	2055
5178	38	500
1849	29	1004
3945	32	6563
963	39	1464
5265	40	6751
6271	17	1612
479	33	6400
3956	37	6947
6481	45	1189
1355	41	4277
6712	23	6126
6421	17	1370
1696	16	1091
3147	45	1555
4595	34	2844
3623	43	1449
1579	29	1691
2532	47	6823
1268	32	2474
607	30	6399
400	44	6851
4917	33	6091
1986	31	1631
6488	49	552
4919	38	4557
2606	9	2156
3248	50	5244
263	14	2174
2469	11	3803
4414	14	5433
6512	9	1199
4128	10	4037
3481	4	3853
1925	20	2122
107	10	646
962	9	484
3031	41	7256
2851	20	5814
2131	5	3632
1810	21	1374
3697	14	6370
4261	24	253
7318	23	2372
18	2	7452
1564	5	2340
2150	14	889
2527	3	117
523	29	3791
4699	30	2463
3217	20	5773
1963	19	6775
422	48	5848
5582	32	7470
3195	39	410
2326	44	4329
6195	48	1294
3699	26	4559
544	37	150
7202	38	5354
3632	5	2081
1368	13	5757
5553	12	2323
5003	37	1876
1344	44	3733
7428	26	1724
741	49	5722
1293	28	1789
5094	27	6429
2994	20	3268
4453	7	7128
2830	41	7240
3557	7	3241
2674	1	1991
7208	6	7044
5163	32	5837
4336	6	2600
804	16	4520
6195	42	3705
5112	10	5256
334	28	2959
1182	46	5381
2893	50	7173
6674	42	872
1174	29	86
7194	16	3939
